#NAME	C3001	C3017	C3022	C3023	C3030	H4004	H4006	H4007	H4008	H4009	H4014	H4015	H4016	H4017	H4018	H4022	H4023	H4038	H4043	H4045	M2008	M2025	M2027	M2028	M2034	M2041	M2042	M2060	M2061	M2075	M2084	P6005	P6016	P6028	P6033
329.1758__627.16	11468901.27711	2987489.01085	151578.25086	74382.01674	786641.33266	152558701.38378	266485.84252	404951.01554	6384212.83823	45265571.10897	44639604.49853	892290.30631	4058710.43435	429695.11402	11853362.40232	2294921.43207	639657100.58583	10671788.4542	60651.10302	26273721.97296	269445.72577	9074093.3796	8465054.8499	128000149.79151	6644233.97914	62017564.48572	1956033.34762	8648453.31447	70472820.10954	108840267.02002	995842.39146	40053008.63123	532827.76992	1260126.60977	20643.0266
329.1838__44.18	771219.96363	2066733.82468	1677015.37036	1510748.73614	321043.0867	6547867.53168	4735658.38747	2479250.99983	1635321.89106	1418153.70792	4026052.01193	7360640.65463	1579841.12599	3847072.09125	999128.05186	1501889.67404	2054237.70126	1943050.47335	2429644.5654	4751792.30993	3223595.92156	934460.01613	1194538.81103	1708852.84803	723811.71599	2013601.74896	946069.9223	871516.58427	1041479.1723	1702519.33158	691082.41553	2016494.51193	320581.58258	566064.86939	137310.55764
329.1869__784.45	3245643.69178	257995.53956	272921.28394	10399738.74919	16929.59458	238900.8133	0	436745.36576	295017.31162	0	194316.14647	556630.35182	320209.16081	2809900.96735	34126.11732	536919.98829	220482.7046	954609.51588	203595.91936	703903.98074	29028.93984	42214.10157	1046572.22957	1132620.72785	71741.81276	3428631.2682	1094774.48577	38952.71641	1203762.61959	482997.68965	173885.56912	359060.71589	2346596.73808	7171.99724	375330.71684
329.187__665.25	6351914.38351	896777.88615	191933.75598	5633460.24053	120383.04815	4786009.84075	4224.58825	1031837.71466	1344703.99859	2444158.87276	127004.44559	3006820.10815	1929902.53137	3180282.88841	563055.73583	1639982.74352	673829.22494	4776838.22074	2227145.05127	1424528.60056	117543.58948	901742.90693	312883.70125	2283123.6359	7599.89247	3749225.82719	202301.70302	154784.94453	402495.75912	581901.38664	816815.55903	697623.6517	3688412.3201	0	1271840.8204
329.196__552.65	1445270.9767	1269103.57084	217378.59724	605688.48948	6960644.31146	2350379.99937	43240670.09759	1568181.13544	1348282.77617	854850.46038	1302416.52283	1202201.23379	37668.88718	532123.74851	1942876.89229	1378943.00065	421024.4203	1615083.1286	1525947.04893	590241.80826	122262.56286	3242289.38343	671788.28241	704712.58998	37208225.54034	1434150.18609	1509902.2089	1256597.73952	1211979.04106	112091.40573	1535586.38327	107260.75044	1585459.32457	47628.22869	1473807.68645
329.1992__721.72	23285437.11485	14711876.29826	3891212.36324	39622070.77671	15308166.67278	22690600.5828	771681.83251	4291157.85435	5487775.7974	12325799.69324	33249606.08827	14157896.48761	1996545.84311	30375219.09821	13373931.8338	2120920.62349	8421913.29886	5680334.68507	10768396.97866	37208890.52531	122399.93038	75552272.13734	7598270.88076	15200729.86272	707076.85797	56635442.19569	8781610.64691	3217280.29872	20483594.19396	10790318.59154	5676507.44592	22538005.96928	14833556.39205	448450.5043	2270588.52445
329.2326__496.72	19919826.30903	13033409.14164	545915.72527	462771.90552	24640570.9397	21478827.20763	5835701.8439	12825632.05305	15658876.49096	53020557.48381	4017935.1223	26026334.50876	10717936.18611	9755635.52257	29201110.08785	49487963.02751	34659743.99482	13483594.70785	26181062.95186	65370111.53957	1857565.68322	146706657.6942	44280046.00616	43880941.01962	1788397.79713	85879332.88621	14170341.47598	385436.54579	299710.65537	310350.51529	535173.11902	19414622.85212	8740572.38511	2290793.519	10119653.82376
329.2332__415.47	3706123.90216	814506.2954	8440153.58348	6329200.06469	2095182.52034	9681137.35443	367684.92851	187037.55331	1056309.65228	5794203.80428	11499281.24307	3362730.4174	4373111.71517	750419.01604	4935671.30667	6501369.54848	4293959.30025	60560.12864	2423467.08838	4387740.70056	140892.84685	26892144.22421	2797857.20277	15893372.34398	331031.46493	73515435.06924	3128479.76852	174206.09544	9901951.03592	4889426.7621	2454488.79282	3715630.00111	1520323.21415	513938.05806	174250.64077
329.2335__450.69	133774597.70036	72765783.75275	90708371.89689	406341855.22271	113090898.28717	172841057.0015	22492948.08153	72939415.41868	98040448.0935	151547873.66902	297706083.49136	216797128.57419	43940490.44651	37602816.96633	45098601.68562	208845996.96076	177342432.14362	67942996.22627	156752914.6619	282789188.14706	9586643.54319	80357411.71039	198592369.47778	170121501.94904	10473538.78348	297475127.23222	1702112.69755	7216685.02497	125734746.8509	56413600.0472	63089017.79481	164280749.26816	100810377.33226	11861905.82224	37930201.79595
329.2387__823.32	6954228.3544	130324665.31609	143078.25304	13679495.65329	7926521.6691	3344339.80245	27658165.00294	2861061.1468	1201831.42788	2833498.74447	1830415.84561	2332284.07551	5615467.20192	5991170.12434	2073521.88266	806651.73984	2091557.69782	4093606.51159	1311412.2189	2047969.81365	469516.56737	1734492.27843	1348495.22	4036465.71673	11264135.1923	161045039.4191	215683.94552	1679642.22123	709422.89445	1661665.32957	2127974.70809	22543700.11679	451077.18599	4728618.83273	169336.06045
329.2489__861.7	133298058.17623	725128467.89083	4508267.63848	342176658.45392	66773592.96029	127397991.81916	318808245.08038	58143639.53699	53241121.94785	30678752.53031	17931318.58294	181792021.85956	64389576.25849	371607347.96742	50492599.4976	49978573.82476	179161225.67151	117185480.20699	48939465.52771	39100752.98786	4175962.23432	12860730.94031	31070319.39831	35560450.13708	42497067.33279	2100683039.34069	3962500.03532	3869795.56899	3680521.07661	13727226.15244	39260774.33184	469416063.25028	54324480.43134	63187161.36938	1861022.26167
329.27__945.05	726403.99561	537558.3191	3260479.23124	780001.45066	1656265.19113	336264.18507	1880771.63338	1112186.37441	1007906.45396	551531.09722	920310.38568	2259921.15709	1028359.6651	304384.45115	731370.56458	264550.67118	1897614.10821	729661.99833	1337872.31547	744698.78646	2959520.59946	189035.16324	1182915.72719	437398.93526	1597251.56566	232739.79515	986209.66804	1102577.0034	490164.61907	579346.76135	1604963.73293	845591.96239	515606.04351	2767436.94034	239212.63906
329.2967__812.68	4373095.70909	311870.97813	4925.65852	449160.46252	23383.14908	434898.38463	0	51921.01262	519204.4416	822900.54543	350187.2935	60747.17189	106107.46412	703982.57889	113172.08961	88521.07628	500397.10789	68078.10864	737745.67	243435.62865	0	857940.29155	62211.28185	244170.32906	29814.19142	1228555.43659	68765.04565	112227.57107	321411.88655	140904.58879	99906.75882	11553.81835	853367.58317	48333.01408	427898.72624
330.1063__221.81	2019990.12491	966685.63309	11323675.77255	197901.43293	185211.65863	6236006.27879	0	118085.33853	1448584.30278	4168012.60582	9033370.19902	3214736.16463	327447.62466	858181.30674	103205.27279	4488195.0669	7508389.08745	284220.92703	1206226.14952	771892.50159	93111.50026	11021258.47038	3859768.64024	4720036.15575	14142.62366	2821966.96521	68953.40677	8007626.16713	51916876.45987	975835.30586	248715.72893	8466430.90383	694941.90797	137238.05242	305244.011
330.1067__129.36	30531378.586	1379527.81994	646200.17811	8576048.98026	55685.86104	120874.73747	0	4879792.8099	12521038.49977	13324500.72322	19425550.43424	6901720.7167	3708608.45871	0	5810781.4965	9181471.779	24815291.51035	1973567.82126	14353363.39763	8251029.05593	119772.72548	27971391.94545	10327580.35748	35183888.01932	0	4961448.35062	3945515.69321	32848741.1356	7071212.8919	5067520.84975	32630280.17044	18677195.30926	126316.81241	0	1833599.168
330.1096__359.49	0	0	3042580.01291	61185.98187	289609.1882	11475440.41836	84410.47262	49478.26807	10078793.58996	1680666.48139	80532402.3449	188067.08195	49052.51167	0	79922.68344	317137.49863	471064.82373	0	15836556.0331	655816.81045	275188.23367	34371980.27168	611238.74426	43029866.15552	644816.00659	0	36691336.51994	290244.98629	981079.30404	0	981949.04039	1256640.48145	680980.40231	36171.47624	56569.87511
330.1103__296.98	505157.35271	261545.37662	125142.03797	678175.95566	217326.98935	1582469.25373	67936.86405	15753.91356	230521.68575	9022002.76094	33829722.06137	142877.13166	41125.32979	752128.82331	359226.56085	1489140.81103	86508.4089	260212.38178	1844978.80978	914470.80652	41228.26051	22561922.66073	336578.51409	159916.79605	398931.7331	550028.92826	15872966.38785	2403517.71394	105493.41199	300624.30607	2228933.0306	23229.53844	220456.88819	0	1048578.719
330.1321__162.45	0	0	9419197.0916	0	74428.9331	1424514.34439	2955333.96034	0	711445.1987	2321728.40606	3998346.6931	2181981.32883	218838.66039	0	28867.8846	427743.04088	81445.47215	197021.27934	20102.54054	1057957.99238	3040876.25531	8571820.01155	5838218.24358	360846.28445	0	15513788.56365	187345.36626	32521358.50551	1952556.99124	21745505.83888	9746325.51659	76093.7713	580002.56149	49800.82681	285326.5531
330.1325__418.23	1566155.36463	66448.16932	515053.54588	53320.25768	422156.77788	11251345.42185	115992.79311	0	66165.06338	498911.13028	10581141.37234	97429.45956	280392.92233	627588.34055	1882300.9719	37154.93032	4323465.12751	30447.2934	53466.08205	135770.57893	1207.22026	881532.66323	0	72932.92084	1064847.60791	1708575.93415	62126.36683	39458.72528	87135.60494	751965.4739	70348.56308	4875527.17005	165089.18569	48192.33227	77097.61141
330.1447__52.46	1924292.37884	53101977.81094	892680.02763	300632.63985	26066551.16432	9545114.56364	962909.90969	366219.40202	225274.38825	7863952.78333	9977396.86462	1331525.47476	2122547.59847	12403836.52195	648330.02396	207119.32245	194162.0302	689918.88426	5444165.05817	1040549.10906	7454788.99355	10676760.60028	2303335.48724	3174733.63256	761874.19273	2548026.04846	5959757.28234	2216971.14728	415130.83213	2278868.63171	424860.15768	3269903.98471	2799631.90433	1301574.3141	317842.95377
330.1743__371.99	119940.54846	0	0	155972.65536	35944.38985	6886915.7749	158699.78714	46815.63003	1176221.73143	2318978.54873	543276.28071	157847.35411	180945.99168	642956.42389	54055.26262	744022.68047	646539.84128	104935.25669	277097.58463	291186.61478	69750.44751	70723.77516	0	1337740.53315	288119.53212	969437.44801	150884.75394	0	123611.56656	547122.05139	252307.65062	317146.70548	180659.01027	91994.04159	0
330.1797__616.9	120649.90912	93446.95181	0	0	151583.5042	31515159.29804	313359.99516	124515.53608	1212920.89971	216563.06362	9419614.05545	0	58299.52597	190911.2102	101446.60243	145574.40941	230221.12228	55862.25956	100870.68964	5358475.21994	3924849.12006	1227960.79733	49382.11641	26610027.39038	414183.96925	11880926.24102	139825.72011	1749584.14923	744618.64936	481126.7047	0	8120933.55019	0	207964.63109	29873.84272
330.2038__89.92	18408352.52479	27873040.16951	21125689.22223	6093692.47295	44519648.35482	93900000.44741	24134354.85903	13237790.81273	13326361.64489	11826465.07944	37545342.59246	32903005.75848	18766065.79789	88195747.16053	17514034.34993	14941372.68718	13223149.81541	48223468.49985	35870227.95809	29492738.83284	11873247.45555	57516621.89242	4100566.7776	15219132.42393	6062004.62876	17689157.33775	17538922.68501	19791224.26966	26116722.22174	9522331.62437	27469390.84868	32459343.8576	7140941.35754	14988615.74343	1647874.95122
330.2078__550.64	281504.18496	0	343648.63459	421175.24242	4094863.01985	4654464.98007	1246749.16586	192478.89766	0	0	94265.71715	3174884.93048	306518.1279	0	216110.27075	1946001.91067	1037650.80776	244500.32474	152047.11824	1783686.43352	352862.10057	306817.86203	104551.73522	255314.00787	603458.2002	287474.20654	212976.50165	134293.20271	917092.47105	1333653.63309	305892.93517	414182.35748	193108.50363	1161383.52028	256454.19083
